dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,rider_type,riders,price,COGS,revenue,cost,profit,profit_margin
2021-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,casual,3,3.99,1.24,11.97,3.7199999999999998,8.25,0.6892230576441103
2021-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,casual,8,3.99,1.24,31.92,9.92,22.0,0.6892230576441103
2021-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,casual,5,3.99,1.24,19.950000000000003,6.2,13.750000000000004,0.6892230576441104
2021-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,casual,3,3.99,1.24,11.97,3.7199999999999998,8.25,0.6892230576441103
2021-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,casual,0,3.99,1.24,0.0,0.0,0.0,
2021-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,casual,0,3.99,1.24,0.0,0.0,0.0,
2021-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,casual,2,3.99,1.24,7.98,2.48,5.5,0.6892230576441103
2021-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,casual,1,3.99,1.24,3.99,1.24,2.75,0.6892230576441103
2021-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,casual,1,3.99,1.24,3.99,1.24,2.75,0.6892230576441103
2021-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,casual,8,3.99,1.24,31.92,9.92,22.0,0.6892230576441103
2021-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,casual,12,3.99,1.24,47.88,14.879999999999999,33.0,0.6892230576441103
2021-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,casual,26,3.99,1.24,103.74000000000001,32.24,71.5,0.6892230576441102
2021-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,casual,29,3.99,1.24,115.71000000000001,35.96,79.75,0.6892230576441102
2021-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,casual,47,3.99,1.24,187.53,58.28,129.25,0.6892230576441103
2021-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,casual,35,3.99,1.24,139.65,43.4,96.25,0.6892230576441103
2021-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,casual,40,3.99,1.24,159.60000000000002,49.6,110.00000000000003,0.6892230576441104
2021-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,casual,41,3.99,1.24,163.59,50.839999999999996,112.75,0.6892230576441103
2021-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,casual,15,3.99,1.24,59.85,18.6,41.25,0.6892230576441103
2021-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,casual,9,3.99,1.24,35.910000000000004,11.16,24.750000000000004,0.6892230576441103
2021-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,casual,6,3.99,1.24,23.94,7.4399999999999995,16.5,0.6892230576441103
2021-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,casual,11,3.99,1.24,43.89,13.64,30.25,0.6892230576441103
2021-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,casual,3,3.99,1.24,11.97,3.7199999999999998,8.25,0.6892230576441103
2021-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,casual,11,3.99,1.24,43.89,13.64,30.25,0.6892230576441103
2021-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,casual,15,3.99,1.24,59.85,18.6,41.25,0.6892230576441103
2021-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,casual,4,3.99,1.24,15.96,4.96,11.0,0.6892230576441103
2021-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,casual,1,3.99,1.24,3.99,1.24,2.75,0.6892230576441103
2021-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1,0.2836,casual,1,3.99,1.24,3.99,1.24,2.75,0.6892230576441103
2021-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,casual,2,3.99,1.24,7.98,2.48,5.5,0.6892230576441103
2021-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,casual,2,3.99,1.24,7.98,2.48,5.5,0.6892230576441103
2021-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,casual,0,3.99,1.24,0.0,0.0,0.0,
2021-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,casual,0,3.99,1.24,0.0,0.0,0.0,
2021-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,casual,0,3.99,1.24,0.0,0.0,0.0,
2021-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,casual,1,3.99,1.24,3.99,1.24,2.75,0.6892230576441103
2021-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,casual,7,3.99,1.24,27.93,8.68,19.25,0.6892230576441103
2021-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,casual,16,3.99,1.24,63.84,19.84,44.0,0.6892230576441103
2021-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,casual,20,3.99,1.24,79.80000000000001,24.8,55.000000000000014,0.6892230576441104
2021-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,casual,11,3.99,1.24,43.89,13.64,30.25,0.6892230576441103
